fitness,type,group,gen,algo
19.766229011721304,max_fitness,0,1,neat
-3.7424243213867436,mean_fitness,0,1,neat
33.54010709985515,max_fitness,0,2,neat
-0.7264034518010861,mean_fitness,0,2,neat
33.54010709985515,max_fitness,0,3,neat
3.468554456512153,mean_fitness,0,3,neat
33.54010709985515,max_fitness,0,4,neat
5.631377243172538,mean_fitness,0,4,neat
33.54010709985515,max_fitness,0,5,neat
3.769182782558391,mean_fitness,0,5,neat
33.54010709985515,max_fitness,0,6,neat
6.8087335841042265,mean_fitness,0,6,neat
33.54010709985515,max_fitness,0,7,neat
4.9863220396672085,mean_fitness,0,7,neat
33.54010709985515,max_fitness,0,8,neat
5.80654196931029,mean_fitness,0,8,neat
33.54010709985515,max_fitness,0,9,neat
3.806981083338664,mean_fitness,0,9,neat
33.54010709985515,max_fitness,0,10,neat
5.375800259086166,mean_fitness,0,10,neat
33.54010709985515,max_fitness,0,11,neat
8.064729670419737,mean_fitness,0,11,neat
33.54010709985515,max_fitness,0,12,neat
5.833941312592462,mean_fitness,0,12,neat
33.54010709985515,max_fitness,0,13,neat
4.380448860835857,mean_fitness,0,13,neat
33.54010709985515,max_fitness,0,14,neat
5.047903867072112,mean_fitness,0,14,neat
33.54010709985515,max_fitness,0,15,neat
6.753434759155849,mean_fitness,0,15,neat
11.755013032897246,max_fitness,0,1,neat
-3.5118284274572766,mean_fitness,0,1,neat
11.755013032897246,max_fitness,0,2,neat
-1.3834556235582023,mean_fitness,0,2,neat
11.755013032897246,max_fitness,0,3,neat
0.11405066714078434,mean_fitness,0,3,neat
19.804195704209068,max_fitness,0,4,neat
1.716788517777393,mean_fitness,0,4,neat
25.053970444912384,max_fitness,0,5,neat
5.613771089747766,mean_fitness,0,5,neat
25.053970444912384,max_fitness,0,6,neat
2.947477316637909,mean_fitness,0,6,neat
25.053970444912384,max_fitness,0,7,neat
0.8598539121520071,mean_fitness,0,7,neat
25.053970444912384,max_fitness,0,8,neat
6.084197010838119,mean_fitness,0,8,neat
25.053970444912384,max_fitness,0,9,neat
4.196593192910089,mean_fitness,0,9,neat
25.053970444912384,max_fitness,0,10,neat
9.305491778348536,mean_fitness,0,10,neat
25.053970444912384,max_fitness,0,11,neat
8.068404768516656,mean_fitness,0,11,neat
26.838657924588848,max_fitness,0,12,neat
7.360793924036656,mean_fitness,0,12,neat
26.838657924588848,max_fitness,0,13,neat
8.412333869743158,mean_fitness,0,13,neat
31.18676879036112,max_fitness,0,14,neat
9.045810329324913,mean_fitness,0,14,neat
41.93370565943304,max_fitness,0,15,neat
10.178677222474299,mean_fitness,0,15,neat
-0.8777892467606776,max_fitness,0,1,neat
-6.050009736195124,mean_fitness,0,1,neat
3.776946076838989,max_fitness,0,2,neat
-4.386521132410402,mean_fitness,0,2,neat
19.71911498705752,max_fitness,0,3,neat
-1.8934926242588397,mean_fitness,0,3,neat
19.71911498705752,max_fitness,0,4,neat
-1.3763322653736374,mean_fitness,0,4,neat
19.71911498705752,max_fitness,0,5,neat
-0.42434118103333757,mean_fitness,0,5,neat
19.71911498705752,max_fitness,0,6,neat
3.119401226866461,mean_fitness,0,6,neat
30.7554510693411,max_fitness,0,7,neat
5.28331405557253,mean_fitness,0,7,neat
30.7554510693411,max_fitness,0,8,neat
5.134915723212897,mean_fitness,0,8,neat
30.7554510693411,max_fitness,0,9,neat
11.15254480155712,mean_fitness,0,9,neat
30.7554510693411,max_fitness,0,10,neat
5.939894891705159,mean_fitness,0,10,neat
30.7554510693411,max_fitness,0,11,neat
9.188523349952945,mean_fitness,0,11,neat
40.20805381507901,max_fitness,0,12,neat
12.63545309775186,mean_fitness,0,12,neat
40.20805381507901,max_fitness,0,13,neat
7.711428294733615,mean_fitness,0,13,neat
40.20805381507901,max_fitness,0,14,neat
10.853051511718359,mean_fitness,0,14,neat
40.20805381507901,max_fitness,0,15,neat
11.777687475678178,mean_fitness,0,15,neat
15.65629659783281,max_fitness,0,1,neat
-3.5662059026288815,mean_fitness,0,1,neat
24.998217467229498,max_fitness,0,2,neat
2.105879863781658,mean_fitness,0,2,neat
24.998217467229498,max_fitness,0,3,neat
5.422211362069836,mean_fitness,0,3,neat
26.856423153614262,max_fitness,0,4,neat
9.39947771100373,mean_fitness,0,4,neat
26.856423153614262,max_fitness,0,5,neat
9.925463882194922,mean_fitness,0,5,neat
28.726118477648576,max_fitness,0,6,neat
11.80222508822866,mean_fitness,0,6,neat
28.726118477648576,max_fitness,0,7,neat
12.383164551904727,mean_fitness,0,7,neat
28.726118477648576,max_fitness,0,8,neat
14.182950098140779,mean_fitness,0,8,neat
28.726118477648576,max_fitness,0,9,neat
11.8268723879486,mean_fitness,0,9,neat
35.94229575424048,max_fitness,0,10,neat
13.598024525552912,mean_fitness,0,10,neat
35.94229575424048,max_fitness,0,11,neat
12.435434376571523,mean_fitness,0,11,neat
43.069121302520585,max_fitness,0,12,neat
14.299108533070903,mean_fitness,0,12,neat
43.069121302520585,max_fitness,0,13,neat
15.158560042923511,mean_fitness,0,13,neat
43.069121302520585,max_fitness,0,14,neat
15.00453569680569,mean_fitness,0,14,neat
43.069121302520585,max_fitness,0,15,neat
9.241652602782699,mean_fitness,0,15,neat
22.943081517937056,max_fitness,0,1,neat
-3.69516582416209,mean_fitness,0,1,neat
22.943081517937056,max_fitness,0,2,neat
0.620318136628172,mean_fitness,0,2,neat
42.688365013239306,max_fitness,0,3,neat
7.2890498555181775,mean_fitness,0,3,neat
42.688365013239306,max_fitness,0,4,neat
8.548575568390486,mean_fitness,0,4,neat
