fitness,type,group,gen,algo
-2.135379481933568,mean_fitness,0,1,neuro
23.25450996531029,max_fitness,0,2,neuro
-1.952376409551135,mean_fitness,0,2,neuro
23.25450996531029,max_fitness,0,3,neuro
0.017926729782643,mean_fitness,0,3,neuro
23.25450996531029,max_fitness,0,4,neuro
-0.4939786349805022,mean_fitness,0,4,neuro
35.71367069766131,max_fitness,0,5,neuro
1.1732416103561982,mean_fitness,0,5,neuro
35.71367069766131,max_fitness,0,6,neuro
1.3228106642351134,mean_fitness,0,6,neuro
35.71367069766131,max_fitness,0,7,neuro
-0.2545425918107699,mean_fitness,0,7,neuro
35.71367069766131,max_fitness,0,8,neuro
0.4859446176469042,mean_fitness,0,8,neuro
35.71367069766131,max_fitness,0,9,neuro
1.9203279369891681,mean_fitness,0,9,neuro
35.71367069766131,max_fitness,0,10,neuro
2.3332592249987036,mean_fitness,0,10,neuro
37.90046083818251,max_fitness,0,11,neuro
3.7871811879192334,mean_fitness,0,11,neuro
37.90046083818251,max_fitness,0,12,neuro
5.691359361095708,mean_fitness,0,12,neuro
37.90046083818251,max_fitness,0,13,neuro
4.561872570954579,mean_fitness,0,13,neuro
37.90046083818251,max_fitness,0,14,neuro
6.777108600481009,mean_fitness,0,14,neuro
37.90046083818251,max_fitness,0,15,neuro
7.264268444554198,mean_fitness,0,15,neuro
13.713828215170142,max_fitness,0,1,neuro
-4.5591324640825865,mean_fitness,0,1,neuro
13.713828215170142,max_fitness,0,2,neuro
-3.9424226996889393,mean_fitness,0,2,neuro
13.713828215170142,max_fitness,0,3,neuro
-3.197167766487059,mean_fitness,0,3,neuro
28.398629042950905,max_fitness,0,4,neuro
-1.173601960601661,mean_fitness,0,4,neuro
28.398629042950905,max_fitness,0,5,neuro
1.4610959640603634,mean_fitness,0,5,neuro
28.398629042950905,max_fitness,0,6,neuro
0.8135336168088646,mean_fitness,0,6,neuro
28.398629042950905,max_fitness,0,7,neuro
0.5183328567139751,mean_fitness,0,7,neuro
