fitness,type,enemy,gen,algo
12.790513847158579,max_fitness,1,1,neat
-3.1343272266961035,mean_fitness,1,1,neat
12.801502968734173,max_fitness,1,2,neat
1.9718930854006251,mean_fitness,1,2,neat
66.04675666571221,max_fitness,1,3,neat
5.803643667977953,mean_fitness,1,3,neat
66.04675666571221,max_fitness,1,4,neat
7.732424806950361,mean_fitness,1,4,neat
66.04675666571221,max_fitness,1,5,neat
8.982487559093446,mean_fitness,1,5,neat
66.04675666571221,max_fitness,1,6,neat
7.840167781868814,mean_fitness,1,6,neat
66.04675666571221,max_fitness,1,7,neat
17.930641992365143,mean_fitness,1,7,neat
75.09191706183107,max_fitness,1,8,neat
16.108208428454734,mean_fitness,1,8,neat
75.09191706183107,max_fitness,1,9,neat
13.879942860524565,mean_fitness,1,9,neat
75.09191706183107,max_fitness,1,10,neat
20.205286906464682,mean_fitness,1,10,neat
75.09191706183107,max_fitness,1,11,neat
15.822324201948955,mean_fitness,1,11,neat
94.02326625757942,max_fitness,1,12,neat
28.697061180700942,mean_fitness,1,12,neat
94.02326625757942,max_fitness,1,13,neat
30.853710830897985,mean_fitness,1,13,neat
94.02326625757942,max_fitness,1,14,neat
22.390612036780084,mean_fitness,1,14,neat
94.02326625757942,max_fitness,1,15,neat
16.191662548016808,mean_fitness,1,15,neat
66.21925648420768,max_fitness,1,1,neat
3.139117546085341,mean_fitness,1,1,neat
66.21925648420768,max_fitness,1,2,neat
12.516501021217145,mean_fitness,1,2,neat
66.21925648420768,max_fitness,1,3,neat
13.335268611458677,mean_fitness,1,3,neat
66.21925648420768,max_fitness,1,4,neat
22.308998242923902,mean_fitness,1,4,neat
66.21925648420768,max_fitness,1,5,neat
25.960061304857454,mean_fitness,1,5,neat
66.21925648420768,max_fitness,1,6,neat
27.236617446411543,mean_fitness,1,6,neat
66.28626719449063,max_fitness,1,7,neat
29.947699562921777,mean_fitness,1,7,neat
66.28626719449063,max_fitness,1,8,neat
23.564579908487428,mean_fitness,1,8,neat
66.28626719449063,max_fitness,1,9,neat
26.838211621746545,mean_fitness,1,9,neat
66.28626719449063,max_fitness,1,10,neat
25.563128317287166,mean_fitness,1,10,neat
66.60183729848225,max_fitness,1,11,neat
20.11825722108103,mean_fitness,1,11,neat
66.60183729848225,max_fitness,1,12,neat
30.92032052863693,mean_fitness,1,12,neat
66.60183729848225,max_fitness,1,13,neat
17.4221956788286,mean_fitness,1,13,neat
66.60183729848225,max_fitness,1,14,neat
34.47283774549991,mean_fitness,1,14,neat
66.60183729848225,max_fitness,1,15,neat
27.472555169513207,mean_fitness,1,15,neat
12.266658723102253,max_fitness,1,1,neat
