enemy,EA,gain
1,neat,90
1,neat,90
1,neat,90
1,neat,90
1,neat,90
2,neat,90
2,neat,90
2,neat,90
2,neat,90
2,neat,90
3,neat,56
3,neat,56
3,neat,56
3,neat,56
3,neat,56
