

MESSAGE: Pygame initialized for simulation.

RUN: run status: enemy: 3; fitness: -211.66962147412522; player life: 0; enemy life: 100; time: 342
RUN: run status: enemy: 3; fitness: -199.4547756374247; player life: 0; enemy life: 90.0; time: 113

RUN: run status: enemy: 3; fitness: -152.2493667817884; player life: 0; enemy life: 40.0; time: 457

RUN: run status: enemy: 3; fitness: -180.0868502338385; player life: 0; enemy life: 70.0; time: 155

RUN: run status: enemy: 3; fitness: -171.41422052949775; player life: 0; enemy life: 60.0; time: 301

RUN: run status: enemy: 3; fitness: -160.2949889536269; player life: 0; enemy life: 50.0; time: 172

RUN: run status: enemy: 3; fitness: -179.99442454752824; player life: 0; enemy life: 70.0; time: 148

RUN: run status: enemy: 3; fitness: -200.06087584278487; player life: 0; enemy life: 90.0; time: 153

RUN: run status: enemy: 3; fitness: -161.66376495456703; player life: 0; enemy life: 50.0; time: 341

RUN: run status: enemy: 3; fitness: -142.45307333857494; player life: 0; enemy life: 30.0; time: 506

RUN: run status: enemy: 3; fitness: -181.6520002147609; player life: 0; enemy life: 70.0; time: 339

RUN: run status: enemy: 3; fitness: -210.83220080440884; player life: 0; enemy life: 100; time: 225

RUN: run status: enemy: 3; fitness: -211.66376495456703; player life: 0; enemy life: 100; time: 341

RUN: run status: enemy: 3; fitness: -161.64609179096604; player life: 0; enemy life: 50.0; time: 338

RUN: run status: enemy: 3; fitness: -201.66962147412522; player life: 0; enemy life: 90.0; time: 342

RUN: run status: enemy: 3; fitness: -181.33976184596105; player life: 0; enemy life: 70.0; time: 290

RUN: run status: enemy: 3; fitness: -171.6342223199264; player life: 0; enemy life: 60.0; time: 336

RUN: run status: enemy: 3; fitness: -211.66962147412522; player life: 0; enemy life: 100; time: 342

RUN: run status: enemy: 3; fitness: -211.6520002147609; player life: 0; enemy life: 100; time: 339

RUN: run status: enemy: 3; fitness: -211.6520002147609; player life: 0; enemy life: 100; time: 339

RUN: run status: enemy: 3; fitness: -210.83220080440884; player life: 0; enemy life: 100; time: 225

RUN: run status: enemy: 3; fitness: -211.6401658607047; player life: 0; enemy life: 100; time: 337

RUN: run status: enemy: 3; fitness: -161.64609179096604; player life: 0; enemy life: 50.0; time: 338

RUN: run status: enemy: 3; fitness: -181.66962147412522; player life: 0; enemy life: 70.0; time: 342

RUN: run status: enemy: 3; fitness: -199.4547756374247; player life: 0; enemy life: 90.0; time: 113

RUN: run status: enemy: 3; fitness: -181.66376495456703; player life: 0; enemy life: 70.0; time: 341

RUN: run status: enemy: 3; fitness: -199.36426245424843; player life: 0; enemy life: 90.0; time: 108

RUN: run status: enemy: 3; fitness: -160.2949889536269; player life: 0; enemy life: 50.0; time: 172

RUN: run status: enemy: 3; fitness: -211.64609179096604; player life: 0; enemy life: 100; time: 338

RUN: run status: enemy: 3; fitness: -211.66376495456703; player life: 0; enemy life: 100; time: 341

RUN: run status: enemy: 3; fitness: -200.12519006605393; player life: 0; enemy life: 90.0; time: 158

RUN: run status: enemy: 3; fitness: -151.15189820629263; player life: 0; enemy life: 40.0; time: 264

RUN: run status: enemy: 3; fitness: -180.11249161069662; player life: 0; enemy life: 70.0; time: 157

RUN: run status: enemy: 3; fitness: -142.45307333857494; player life: 0; enemy life: 30.0; time: 506

RUN: run status: enemy: 3; fitness: -152.45307333857494; player life: 0; enemy life: 40.0; time: 506

RUN: run status: enemy: 3; fitness: -190.8232921037101; player life: 0; enemy life: 80.0; time: 224

RUN: run status: enemy: 3; fitness: -132.44118034019948; player life: 0; enemy life: 20.0; time: 503

RUN: run status: enemy: 3; fitness: -142.25810042012108; player life: 0; enemy life: 30.0; time: 459

RUN: run status: enemy: 3; fitness: -142.22736435966448; player life: 0; enemy life: 30.0; time: 452

RUN: run status: enemy: 3; fitness: -211.6520002147609; player life: 0; enemy life: 100; time: 339

RUN: run status: enemy: 3; fitness: -181.6520002147609; player life: 0; enemy life: 70.0; time: 339

RUN: run status: enemy: 3; fitness: -210.83220080440884; player life: 0; enemy life: 100; time: 225

RUN: run status: enemy: 3; fitness: -211.66962147412522; player life: 0; enemy life: 100; time: 342

RUN: run status: enemy: 3; fitness: -161.64609179096604; player life: 0; enemy life: 50.0; time: 338

